journal_no,journal_accreditation,journal_url
2246,Jurnal Math Educator Nusantara (JMEN) : Wahana Publikasi Karya Tulis Ilmiah di Bidang Pendidikan Matematika,http://ojs.unpkediri.ac.id/index.php/matematika/index
2247,Jurnal FishtecH,http://ejournal.unsri.ac.id/index.php/fishtech
2248,Jurnal Biosains,http://jurnal.unimed.ac.id/2012/index.php/biosains
2249,Jurnal Riset Hesti Medan Akper Kesdam I/BB Medan,https://jurnal.kesdammedan.ac.id/index.php/jurhesti
2250,Journal of Private and Commercial Law,https://journal.unnes.ac.id/nju/index.php/jpcl
2251,NALAR: Jurnal Peradaban dan Pemikiran Islam,http://e-journal.iain-palangkaraya.ac.id/index.php/nalar
2252,Journal of Malay Islamic Studies,http://jurnal.radenfatah.ac.id/index.php/jmis
2253,Perspektif,http://ojs.uma.ac.id/index.php/perspektif
2254,Jurnal Sains dan Kesehatan,https://jsk.farmasi.unmul.ac.id/index.php/jsk
2255,Jurnal Dedikasi Pendidikan,http://jurnal.abulyatama.ac.id/dedikasi
2256,Soepra Jurnal Hukum Kesehatan,http://journal.unika.ac.id/index.php/shk
2257,PINUS: Jurnal Penelitian Inovasi Pembelajaran,http://ojs.unpkediri.ac.id/index.php/pinus
2258,Tesa Arsitektur,http://journal.unika.ac.id/index.php/tesa
2259,Jurnal Media Analis Kesehatan,http://journal.poltekkes-mks.ac.id/ojs2/index.php/mediaanalis
2260,JPI (Jurnal Pendidikan Inklusi),https://journal.unesa.ac.id/index.php/ji
2261,Jurnal POLIMESIN,http://e-jurnal.pnl.ac.id/index.php/polimesin/index
2262,"EnJourMe (English Journal of Merdeka) : Culture, Language, and Teaching of English",http://jurnal.unmer.ac.id/index.php/enjourme
2263,Lex Scientia Law Review,https://journal.unnes.ac.id/sju/index.php/lslr
2264,Jurnal Pendidikan Matematika (JPM),http://riset.unisma.ac.id/index.php/jpm/index
2265,"Jurnal EECCIS (electrics, electronics, communications, controls, informatics, systems)",http://jurnaleeccis.ub.ac.id/index.php/eeccis
2266,JURNAL PSIKOLOGI UDAYANA,https://ojs.unud.ac.id/index.php/psikologi
2267,JPFT (Jurnal Pendidikan Fisika Tadulako Online),http://jurnal.untad.ac.id/jurnal/index.php/EPFT/index
2268,Jurnal Teknologi Pangan dan Gizi (Jurnal of Food Technology and Nutrition),http://journal.wima.ac.id/index.php/JTPG/index
2269,Jurnal Ilmiah Kesehatan,https://journal.stikesmuh-pkj.ac.id/index.php/jik/
2270,JURNAL GOVERNANSI,http://ojs.unida.ac.id/index.php/JGS
2271,Jurnal Pertanian,http://ojs.unida.ac.id/index.php/jp/
2272,Tafaqquh: Jurnal Penelitian dan Kajian Keislaman,http://jurnal.iaibafa.ac.id/index.php/tafaqquh/index
2273,Ijtihad : Jurnal Hukum dan Ekonomi Islam,https://ejournal.unida.gontor.ac.id/index.php/ijtihad
2274,Journal Sampurasun : Interdisciplinary Studies for Cultural Heritage,http://journal.unpas.ac.id/index.php/sampurasun/index
2275,Integralistik,https://journal.unnes.ac.id/nju/index.php/integralistik/index
2276,Jurnal Pendidikan Akuntansi dan Keuangan,http://ejournal.upi.edu/index.php/JPAK
2277,Jurnal Kesehatan Mesencephalon,http://ejournal.stikeskepanjen-pemkabmalang.ac.id/index.php/mesencephalon
2278,International Journal of Engineering and Science Applications,http://pasca.unhas.ac.id/ojs/index.php/ijesca
2279,Humani (Hukum dan Masyarakat Madani),http://journals.usm.ac.id/index.php/humani
2280,Gemassika : Jurnal Pengabdian Kepada Masyarakat,http://jurnal.stikes-aisyiyah.ac.id/index.php/gemassika/index
2281,Jurnal Produksi Tanaman,http://protan.studentjournal.ub.ac.id/index.php/protan
2282,EDUTECH: Jurnal Ilmu Pendidikan dan Ilmu Sosial,http://jurnal.umsu.ac.id/index.php/edutech
2283,Jurnal Dinamika Vokasional Teknik Mesin,https://journal.uny.ac.id/index.php/dynamika/index
2284,Logista: Jurnal Ilmiah Pengabdian kepada Masyarakat,http://logista.fateta.unand.ac.id/index.php/logista
2285,Jurnal Pengabdian Pada Masyarakat,http://ppm.ejournal.id
2286,JST (Jurnal Sains Terapan),http://jurnal.poltekba.ac.id/index.php/jst
2287,Agregat: Jurnal Ekonomi dan Bisnis,http://journal.uhamka.ac.id/index.php/agregat/index
2288,Intiqad: Jurnal Agama dan Pendidikan Islam,http://jurnal.umsu.ac.id/index.php/intiqad/index
2289,Medina-Te : Jurnal Studi Islam,http://jurnal.radenfatah.ac.id/index.php/medinate
2290,"Jurnal Saintekom (Sain, Teknologi, Komputer dan Manajeman)",http://stmikplk.ac.id/jurnal/index.php/saintekom
2291,Jurnal Solma,https://journal.uhamka.ac.id/index.php/solma
2292,Global Review of Islamic Economics and Business,http://ejournal.uin-suka.ac.id/febi/grieb
2293,Al-Falah: Journal of Islamic Economics,http://journal.staincurup.ac.id/index.php/alfalah
2294,JITE (Journal of Informatics and Telecommunication Engineering),https://ojs.uma.ac.id/index.php/jite/index
2295,Martabat: Jurnal Perempuan dan Anak,http://ejournal.iain-tulungagung.ac.id/index.php/martabat
2296,Journal of Community Engagement in Health,https://jceh.org/index.php/JCEH
2297,Gorontalo Journal of Government and Political Studies,http://jurnal.unigo.ac.id/index.php/gjgops
2298,Jurnal Agrium,https://ojs.unimal.ac.id/index.php/agrium
2299,Jurnal Edutech Undiksha,https://ejournal.undiksha.ac.id/index.php/JEU
2300,Jurnal Ekonomi Syariah Indonesia (JESI),http://ejournal.almaata.ac.id/index.php/JESI
2301,Jurnal Teknik Kimia,http://ejournal.upnjatim.ac.id/index.php/tekkim
2302,Spirit Publik : Jurnal Administrasi Publik,https://jurnal.uns.ac.id/spirit-publik
2303,Tarbawiyah: Jurnal Ilmiah Pendidikan,http://e-journal.metrouniv.ac.id/index.php/tarbawiyah
2304,Jurnal Syarikah : Jurnal Ekonomi Islam,http://ojs.unida.ac.id/index.php/JSEI
2305,Energi dan Kelistrikan: Jurnal Ilmiah,https://stt-pln.e-journal.id/energi
2306,JDE (Journal of Developing Economies),https://e-journal.unair.ac.id/index.php/JDE
2307,IJAIT (International Journal of Applied Information Technology),https://journals.telkomuniversity.ac.id/ijait
2308,Supremasi Hukum: Jurnal Penelitian Hukum,https://ejournal.unib.ac.id/index.php/supremasihukum
2309,Efektor,http://ojs.unpkediri.ac.id/index.php/efektor-e
2310,JED (Jurnal Etika Demokrasi),https://journal.unismuh.ac.id/index.php/jed/
2311,Jurnal Belantara,http://belantara.unram.ac.id/index.php/JBL/index
2312,Jurnal Ilmu Hukum: Fakultas Hukum Universitas Riau,https://jih.ejournal.unri.ac.id/index.php/JIH
2313,Journal Psikogenesis,http://academicjournal.yarsi.ac.id/index.php/Jurnal-Online-Psikogenesis/index
2314,Indonesian Journal of Medicine,http://www.theijmed.com/index.php?journal=theijmed
2315,Journal of Issues in Midwifery,https://joim.ub.ac.id/index.php/joim
2316,Jurnal Teknologi Pangan,http://ejournal.upnjatim.ac.id/index.php/teknologi-pangan
2317,Jurnal Perilaku dan Strategi Bisnis,http://ejurnal.mercubuana-yogya.ac.id/index.php/JPSB
2318,Pertanian Tropik,https://jurnal.usu.ac.id/index.php/tropik/index
2319,Jurnal Penelitian dan Pengabdian Kepada Masyarakat UNSIQ,https://ojs.unsiq.ac.id/index.php/ppkm
2320,Sabda : Jurnal Kajian Kebudayaan,http://ejournal.undip.ac.id/index.php/sabda
2321,Jurnal Sains dan Teknologi: Jurnal Keilmuan dan Aplikasi Teknologi Industri,http://ojs.sttind.ac.id/sttind_ojs/index.php/Sain/index
2322,Maspari Journal : Marine Science Research,https://ejournal.unsri.ac.id/index.php/maspari
2323,An Nabighoh,http://e-journal.metrouniv.ac.id/index.php/an-nabighoh
2324,Kertha Wicaksana: Sarana Komunikasi Dosen dan Mahasiswa,http://ejournal.warmadewa.ac.id/index.php/kertawicaksana
2325,SELING: Jurnal Program Studi PGRA,http://jurnal.stitnualhikmah.ac.id/index.php/seling
2326,Jurnal Ekonomi Manajemen,http://jurnal.unsil.ac.id/index.php/jem/index
2327,Journal of Vocational and Career Education,https://journal.unnes.ac.id/nju/index.php/jvce/index
2328,JAST : Jurnal Aplikasi Sains dan Teknologi,https://jurnal.unitri.ac.id/index.php/jast
2329,JRSI (Jurnal Rekayasa Sistem dan Industri),http://jrsi.sie.telkomuniversity.ac.id/index.php/JRSI
2330,Journal of English Language and Pedagogy,http://jurnal.ustjogja.ac.id/index.php/ELP
2331,Jurnal Ilmiah Teknik Elektro Komputer dan Informatika (JITEKI),http://journal.uad.ac.id/index.php/JITEKI/
2332,Kilat,https://stt-pln.e-journal.id/kilat
2333,Jurnal Riset Inspirasi Manajemen dan Kewirausahaan,http://ejurnal.stimi-bjm.ac.id/index.php/JRIMK
2334,Jurnal Riset Akuntansi (JUARA),http://ojs.unmas.ac.id/index.php/JUARA
2335,"Jurnal Bahasa, Sastra, dan Pembelajarannya (JBSP)",https://ppjp.ulm.ac.id/journal/index.php/jbsp
