journal_no,journal_name,journal_accreditation,journal_url
190,Jurnal Akuntansi Multiparadigma,S2,http://jamal.ub.ac.id/index.php/jamal
191,Jurnal Iktiologi Indonesia,S2,http://jurnal-iktiologi.org/index.php/jii
192,Beta : Jurnal Tadris Matematika,S2,http://jurnalbeta.ac.id/index.php/betaJTM
193,JEPIN (Jurnal Edukasi dan Penelitian Informatika),S2,http://jurnal.untan.ac.id/index.php/jepin/index
194,Jurnal Penelitian Komunikasi dan Opini Publik,S2,https://jurnal.kominfo.go.id/index.php/jpkop/index
195,Jurnal Ilmiah Kebijakan Hukum,S2,http://ejournal.balitbangham.go.id/index.php/kebijakan
196,Edukasi: Jurnal Penelitian Pendidikan dan Keagamaan,S2,http://www.jurnaledukasikemenag.org/index.php/edukasi
197,JURNAL KAJIAN AKUNTANSI,S2,http://jurnal.unswagati.ac.id/index.php/jka
198,Jurnal Inovasi Pendidikan IPA,S2,https://journal.uny.ac.id/index.php/jipi
199,ASSETS: Jurnal Akuntansi dan Pendidikan,S2,http://e-journal.unipma.ac.id/index.php/assets
200,The Journal of Pure and Applied Chemistry Research,S2,http://jpacr.ub.ac.id/
201,Jurnal Komunikasi Indonesia,S2,http://journal.ui.ac.id/jkmi
202,"LIMNOTEK, Perairan Darat Tropis di Indonesia",S2,http://limnotek.or.id/index.php/limnotek
203,Jurnal Manajemen dan Pemasaran Jasa,S2,http://www.trijurnal.lemlit.trisakti.ac.id/index.php/jasa
204,Jurnal Pendidikan Fisika Indonesia,S2,https://journal.unnes.ac.id/nju/index.php/JPFI
205,Jurnal Penelitian dan Pembelajaran IPA,S2,http://jurnal.untirta.ac.id/index.php/JPPI/index
206,"Jurnal Pendidikan : Teori, Penelitian, dan Pengembangan",S2,http://journal.um.ac.id/index.php/jptpp/index
207,CommIT (Communication and Information Technology) Journal,S2,https://journal.binus.ac.id/index.php/commit/index
208,Jurnal Riset Akuakultur,S2,http://ejournal-balitbang.kkp.go.id/index.php/jra
209,JEES (Journal of English Educators Society),S2,http://ojs.umsida.ac.id/index.php/jees
210,Kertha Patrika,S2,https://ojs.unud.ac.id/index.php/kerthapatrika
211,Agritech,S2,https://jurnal.ugm.ac.id/agritech/
212,Jurnal Pendidikan Vokasi,S2,http://journal.uny.ac.id/index.php/jpv
213,Aksara,S2,http://aksara.kemdikbud.go.id/jurnal/index.php/aksara/index
214,Lontar Komputer : Jurnal Ilmiah Teknologi Informasi ,S2,https://ojs.unud.ac.id/index.php/lontar
215,Indonesian Journal of Cancer Chemoprevention,S2,https://ijcc.chemoprev.org/index.php/ijcc
216,English Review: Journal of English Education,S2,https://journal.uniku.ac.id/index.php/ERJEE/index
217,Eralingua : Jurnal Pendidikan Bahasa Asing dan Sastra,S2,https://ojs.unm.ac.id/eralingua/index
218,Jurnal Teknik Elektro,S2,https://journal.unnes.ac.id/nju/index.php/jte/index
219,Jurnal Ekonomi dan Bisnis,S2,http://ejournal.uksw.edu/jeb
220,Jurnal Obsesi: Jurnal Pendidikan Anak Usia Dini,S2,http://journal.universitaspahlawan.ac.id/index.php/obsesi
221,Jurnal Ilmu-Ilmu Peternakan (Indonesian Journal of Animal Science),S2,http://jiip.ub.ac.id/index.php/jiip/issue/archive
222,Jurnal Akuntansi,S2,http://ecojoin.org/index.php/EJA
223,Jurnal Tanah dan Iklim,S2,http://ejurnal.litbang.pertanian.go.id/index.php/jti
224,Makara Journal of Science,S2,http://journal.ui.ac.id/index.php/science
225,Economics Development Analysis Journal,S2,https://journal.unnes.ac.id/sju/index.php/edaj/index
226,Jurnal Sylva Lestari,S2,http://jurnal.fp.unila.ac.id/index.php/JHT/index
227,Oseanologi dan Limnologi di Indonesia,S2,http://jurnal-oldi.or.id/index.php/oldi
228,Jurnal Administrasi Kesehatan Indonesia,S2,https://e-journal.unair.ac.id/index.php/JAKI
229,"Journal of Mechatronics, Electrical Power, and Vehicular Technology",S2,http://www.mevjournal.com
230,Sawwa: Jurnal Studi Gender dan Anak,S2,http://journal.walisongo.ac.id/index.php/sawwa
231,The Indonesian Accounting Review,S2,https://journal.perbanas.ac.id/index.php/tiar
232,Episteme : Jurnal Pengembangan Ilmu Keislaman,S2,http://ejournal.iain-tulungagung.ac.id/index.php/epis
233,Indonesian Fisheries Research Journal,S2,http://ejournal-balitbang.kkp.go.id/index.php/ifrj
234,"Journal of Accounting, Business and Management (JABM)",S2,http://journal.stie-mce.ac.id/index.php/jabminternational
235,Jurnal Penelitian Kelapa Sawit,S2,http://jurnalkelapasawit.iopri.org/index.php/jpks
236,Jurnal Irigasi,S2,http://jurnalirigasi_pusair.pu.go.id/index.php/jurnal_irigasi
237,Media Komunikasi Teknik Sipil,S2,http://ejournal.undip.ac.id/index.php/mkts
238,DUNAMIS: Jurnal Teologi dan Pendidikan Kristiani,S2,http://www.sttintheos.ac.id/e-journal/index.php/dunamis
239,Al-Uqud: Journal of Islamic Economic,S2,https://journal.unesa.ac.id/index.php/jie
240,Global Strategis,S2,http://e-journal.unair.ac.id/index.php/JGS
241,Islamic Guidance and Counseling Journal,S2,https://journal.iaimnumetrolampung.ac.id/index.php/igcj
242,Jurnal Keuangan dan Perbankan,S2,http://jurnal.unmer.ac.id/index.php/jkdp
243,Journal of Aquaculture and Fish Health,S2,https://e-journal.unair.ac.id/JAFH
244,Jurnal Komunikasi Ikatan Sarjana Komunikasi Indonesia,S2,http://jurnal-iski.or.id/index.php/jkiski/index
245,Pelita Perkebunan,S2,http://www.ccrjournal.com/index.php/ccrj
246,"Journal of Economics, Business, & Accountancy Ventura",S2,https://journal.perbanas.ac.id/index.php/jebav
247,Amerta Nutrition,S2,https://e-journal.unair.ac.id/AMNT
248,"Media Riset Akuntansi, Auditing & Informasi",S2,http://www.trijurnal.lemlit.trisakti.ac.id/index.php/mraai/index
249,COUNS-EDU: The International Journal of Counseling and Education,S2,http://journal.konselor.or.id/index.php/counsedu
250,EMITTER : International Journal of Engineering Technology,S2,https://emitter.pens.ac.id/index.php/emitter/index
251,Wartazoa : Buletin Ilmu Peternakan dan Kesehatan Hewan Indonesia,S2,http://medpub.litbang.pertanian.go.id/index.php/wartazoa
252,Jurnal Tamanan Industri dan Penyegar (Journal of Industrial and Beverage Crops),S2,http://ejurnal.litbang.pertanian.go.id/index.php/bultri/
253,International Journal of Artificial Intelligence Research,S2,http://ijair.id/index.php/ijair/index
254,Jurnal Litbang Industri,S2,http://ejournal.kemenperin.go.id/jli
255,Berkala Ilmu Perpustakaan dan Informasi ,S2,https://jurnal.ugm.ac.id/bip
256,"RETORIKA: Jurnal Bahasa, Sastra, dan Pengajarannya",S2,http://ojs.unm.ac.id/retorika
257,Mix : Jurnal Ilmiah Manajemen,S2,http://publikasi.mercubuana.ac.id/index.php/Jurnal_Mix
258,JNTETI (Jurnal Nasional Teknik Elektro dan Teknologi Informasi),S2,http://ejnteti.jteti.ugm.ac.id/index.php/JNTETI/
259,"ELKOMIKA: Jurnal Teknik Energi Elektrik, Teknik Telekomunikasi, & Teknik Elektronika",S2,http://ejurnal.itenas.ac.id/index.php/elkomika
260,Jurnal Teknologi Reaktor Nuklir Tri Dasa Mega,S2,http://jurnal.batan.go.id/index.php/tridam/index
