journal_name,journal_url,journal_accreditation
"Saintek Perikanan : Indonesian Journal of Fisheries Science and Technology","https://ejournal.undip.ac.id/index.php/saintek","S2 Accredited"
"Jurnal Teknologi dan Sistem Komputer","https://jtsiskom.undip.ac.id/index.php/jtsiskom/index","S2 Accredited"
"International Journal of Social Science and Business","https://ejournal.undiksha.ac.id/index.php/IJSSB","S2 Accredited"
"Media Gizi Indonesia","https://e-journal.unair.ac.id/MGI","S2 Accredited"
"Jurnal Legislasi Indonesia","http://e-jurnal.peraturan.go.id/index.php/jli/index","S2 Accredited"
"Jurnal Rechts Vinding : Media Pembinaan Hukum Nasional","http://www.rechtsvinding.bphn.go.id/ejournal/index.php/jrv","S2 Accredited"
"Journal of Information Systems Engineering and Business Intelligence","http://e-journal.unair.ac.id/index.php/JISEBI/issue/archive","S2 Accredited"
"Iqtishadia: Jurnal Kajian Ekonomi dan Bisnis Islam","http://journal.stainkudus.ac.id/index.php/IQTISHADIA","S2 Accredited"
"Journal of Governance and Public Policy","http://journal.umy.ac.id/index.php/gpp","S2 Accredited"
"Jurnal Ekonomi dan Keuangan Islam","https://journal.uii.ac.id/JEKI","S2 Accredited"
"Jurnal Iqra' : Kajian Ilmu Pendidikan","http://journal.iaimnumetrolampung.ac.id/index.php/ji/","S2 Accredited"
"IJEE (Indonesian Journal of English Education)","http://journal.uinjkt.ac.id/index.php/ijee","S2 Accredited"
"Nyimak: Journal of Communication","http://jurnal.umt.ac.id/index.php/nyimak/index","S2 Accredited"
"Jurnal Teknologi Informasi dan Ilmu Komputer","http://jtiik.ub.ac.id","S2 Accredited"
"Wawasan : Jurnal Ilmiah Agama dan Sosial Budaya","http://journal.uinsgd.ac.id/index.php/jw","S2 Accredited"
"International Journal of Education","http://ejournal.upi.edu/index.php/ije","S2 Accredited"
"Share: Jurnal Ekonomi dan Keuangan Islam","https://jurnal.ar-raniry.ac.id/index.php/Share","S2 Accredited"
"Jurnal Manajemen dan Kewirausahaan","http://jurnalmanajemen.petra.ac.id/","S2 Accredited"
"IJCCS (Indonesian Journal of Computing and Cybernetics Systems)","https://jurnal.ugm.ac.id/ijccs","S2 Accredited"
"JPP Undiksha","https://ejournal.undiksha.ac.id/index.php/JPP","S2 Accredited"
"Journal of Education and Learning (EduLearn)","http://edulearn.intelektual.org","S2 Accredited"
"Jurnal Obsesi: Jurnal Pendidikan Anak Usia Dini","https://obsesi.or.id/index.php/obsesi","S2 Accredited"
