journal_no,journal_id,journal_name,journal_accreditation,journal_url
4584,/journals/detail/?id=4951,Jurnal Pelayanan dan Pengabdian Masyarakat,S5,http://ejournal.urindo.ac.id/index.php/PAMAS
4585,/journals/detail/?id=5951,SAINSTEK (e-Journal),S5,https://jurnal.sttp-yds.ac.id/
4586,/journals/detail/?id=4944,Jurnal Sosio Agribisnis,S5,http://ojs.uho.ac.id/index.php/JSA
4587,/journals/detail/?id=6048,"Jurnal Offshore: Oil, Production Facilities and Renewable Energy",S5,https://ejournal.up45.ac.id/index.php/Jurnal_OFFSHORE
4588,/journals/detail/?id=5897,Neraca Keuangan : Jurnal Ilmiah Akuntansi dan Keuangan,S5,http://ejournal.uika-bogor.ac.id/index.php/neraca/index
4589,/journals/detail/?id=5754,JCommsci (Journal Of Media and Communication Science),S5,https://jcomm.unram.ac.id/index.php/jcomm
4590,/journals/detail/?id=5355,Media Informasi,S5,http://ejurnal.poltekkestasikmalaya.ac.id/index.php/BMI
4591,/journals/detail/?id=6893,Tafhim Al-'Ilmi : Jurnal Pendidikan dan Pemikiran Islam,S5,http://ejournal.kopertais4.or.id/madura/index.php/tafhim
4592,/journals/detail/?id=6388,DIKDAS MATAPPA : Jurnal Pendidikan Dasar,S5,http://journal.stkip-andi-matappa.ac.id/index.php/dikdas/issue/archive
4593,/journals/detail/?id=491,SAINTEKBU,S5,http://ejournal.unwaha.ac.id/index.php/saintek/index
4594,/journals/detail/?id=5528,Lintas Ruang: Jurnal Pengetahuan dan Perancangan Desain Interior,S5,http://journal.isi.ac.id/index.php/lintas
4595,/journals/detail/?id=5501,Jurnal Qua Teknika,S5,https://ejournal.unisbablitar.ac.id/index.php/qua
4596,/journals/detail/?id=6643,Agroekoteknologi Tropika Lembab,S5,http://e-journals.unmul.ac.id/index.php/agro/index
4597,/journals/detail/?id=5770,Jurnal Ulunnuha,S5,https://ejournal.uinib.ac.id/jurnal/index.php/ulunnuha
4598,/journals/detail/?id=5582,Jurnal Bosaparis: Pendidikan Kesejahteraan Keluarga ,S5,https://ejournal.undiksha.ac.id/index.php/JJPKK
4599,/journals/detail/?id=1461,Bangun Rekaprima,S5,http://jurnal.polines.ac.id/jurnal/index.php/bangun_rekaprima
4600,/journals/detail/?id=5718,"specta: Journal of Photography, Arts, and Media",S5,http://journal.isi.ac.id/index.php/specta
4601,/journals/detail/?id=6185,SEAJOM: The Southeast Asia Journal of Midwifery,S5,https://journal-aipkind.or.id/index.php/seajom
4602,/journals/detail/?id=5059,Biomedical Journal of Indonesia Jurnal Biomedik Fakultas Kedokteran Universitas Sriwijaya,S5,https://ejournal.unsri.ac.id/index.php/bji
4603,/journals/detail/?id=5910,Motorik Jurnal Ilmu Kesehatan,S5,http://ejournal.stikesmukla.ac.id/index.php/motor
4604,/journals/detail/?id=4958,Jurnal Ilmu Komunikasi UHO : Jurnal Penelitian Kajian Ilmu Komunikasi dan Informasi,S5,http://ojs.uho.ac.id/index.php/KOMUNIKASI
4605,/journals/detail/?id=4446,Jurnal Teknik Mesin,S5,http://ejournal2.pnp.ac.id/index.php/jtm
4606,/journals/detail/?id=6296,Jurnal Manajemen Dirgantara,S5,http://jurnal.sttkd.ac.id/index.php/JMD
4607,/journals/detail/?id=5051,Apollo Project : Jurnal Ilmiah Program Studi Sastra Inggris,S5,https://ojs.unikom.ac.id/index.php/apollo-project
4608,/journals/detail/?id=5841,Solusi,S5,http://jurnal.unpal.ac.id/index.php/solusi/index
4609,/journals/detail/?id=6157,Jurnal RISA (Riset Arsitektur),S5,http://journal.unpar.ac.id/index.php/risa/index
4610,/journals/detail/?id=5415,Jurnal MeA (Media Agribisnis),S5,http://journal.unpar.ac.id/index.php/risa/index
4611,/journals/detail/?id=6327,Jurnal Ilmiah Obsgin: Jurnal Ilmiah Ilmu Kebidanan dan Kandungan,S5,https://stikes-nhm.e-journal.id/JOB
